DIA,AÑO,MES,MESNUM,SEMANA,SALDO INICIAL IQ005,INGRESO IQ005 PRODUCCIÓN,INGRESO IQ005 I+D,INGRESO IQ005,CONSUMO IQ005,MEDIA GL DESECHO ,SALDO FINAL IQ005,SALDO INICIAL IQ130,PRODUCCION IQ130,CONSUMO IQ130 PRODUCCIÓN,CONSUMO IQ130 I+D,CONSUMO IQ149 (ALCOHOL COMPRADO DE 96°),CONSUMO IQ130 ,GL TANQUE DESTILADO ,SALDO FINAL IQ130,% APRV,AGUA M³(PL),AGUA M3(AD),AGUA DE PRODUCCION,AGUA M³ CALDERO # 2 50 BHP,AGUA M3 CALDERO #1 200 BHP,AGUA M3 DE CALDERO #1 A TORRE,AGUA M3 DE CALDERO #2 A TORRE,TORRE ENFRIAMIENTO M3(IN),TORRE DE DESTILACIÓN (M3),ENERGIA SIN TORRE,ENERGIA CON TORRE,ENERGIA TORRE,ENERGIA DE PRODUCION,ENERGÍA PLANTA KWH,VALOR INICIAL KWH PLANTA,VALOR FINAL KWH PLANTA,ENERGÍA ADMIN KWH,VALOR INICIAL KWH ADM,VALOR FINAL KWH ADM,SALDO INICIAL TQ DIESEL PRINCIPAL (Gls),CONSUMO DIARIO DE DIESEL ,CONSUMO DIESEL SIN TORRE,CONSUMO DIESEL CON TORRE,CONSUMO DIESEL TORRE,CONSUMO DIESEL DE PRODUCCION,CONSUMO GL TQ PRINCIPAL (Gls),INGRESO TQ DIESEL PRINCIPAL (Gls),VOLUMEN MENSUAL PROMEDIO,SALDO FINAL TQ DIESEL PRINCIPAL,NIVEL INICIAL TQ CAL #1,NIVEL FINAL TQ CAL #1,CONS. (GL) CAL#1,NIVEL INICIAL TQ CAL #2,NIVEL FINAL TQ CAL #2,CONS. (GL) CAL#2,CONS. (CM) TORRE,CONS. (CM) TORRE ,CONS. (CM) CALDERO,CONS. (CM) TORRE 3,CONS. (CM) CALDERO4,CONS. (CM) CALDERO5,CONS. (CM) CALDERO6,CONS. (CM) CALDERO7,ANTIESPUMANTE (ml),TQ TOWER IS,CONS. AGUA FACT (M3),CONS. E ELÉCTRICA FACT (KWH),CONS. DIESEL FACT (GL),COSTO AGUA FACT,COSTO E ELÉCTRICA FACT,COSTO DIESEL FACT,COSTO DIESEL FACT +IVA,COSTO FACTURADO,HORAS DE PRODUCCIÓN,HORAS PRODUCCIÓN SIN TORRE,HORAS PRODUCCIÓN CON TORRE,COSTO DE AGUA/HORA,COSTO DE AGUA SIN TORRE/HORA,COSTO DE AGUA TORRE/HORA,COSTO ENERGIA/HORA,COSTO DIESEL CONSUMIDO/HORA,COSTO DIESEL TQ PRINCIPAL/HORA,COSTO DE AGUA,COSTO DE AGUA PRODUCCIÓN,COSTO DE AGUA CON TORRE,COSTO DE AGUA TORRE,COSTO DE ENERGÍA,COSTO DE ENERGÍA PRODUCCIÓN,COSTO ENERGIA SIN TORRE,COSTO ENERGIA CON TORRE,COSTO ENERGIA TORRE,COSTO DE DIESEL CONSUMIDO,COSTO DIESEL CONSUMIDO SIN IVA,COSTO DIESEL SIN TORRE,COSTO DIESEL CON TORRE,COSTO DIESEL TORRE,COSTO DIESEL DE PRODUCCION,COSTO DE DIESEL CONSUMIDO TQ PRINCIPAL,COSTO TOTAL PRODUCCIÓN,COSTO TOTAL PRODUCCIÓN SIN IVA,Columna2,COSTO IQ005,MOD DESTIL,CIF DESTIL1,CIF DESTIL2,COSTO TOTAL PRODUCCIÓN TORRE DE DESTILACIÓN,COSTO TOTAL PRODUCCIÓN DE ALCOHOL,COSTO TOTAL PLANTA,COSTO LITRO TOTAL,COSTO TOTAL GENERAL,UNIDADES PROCESADAS
3/1/2017 0:00,2017,MARZO,3,9,4750,3900,,3900,2250,,6400,,1550,,,,0,,1550,68.88888889,38,,38,,13.68,0,0,,,,,0,0,,,,,,,2500,300,,,,300,300,,,2200,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,450,62,3.1,93,,,,0.392322581,608.1,
3/2/2017 0:00,2017,MARZO,3,9,6400,3150,,3150,8150,,1400,,6300,,,,0,,6300,77.3006135,41,,41,,14.76,0,0,,,,,0,0,,,,,,,2200,400,,,,400,400,,,1800,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,1630,252,12.6,378,,,,0.360730159,2272.6,
3/3/2017 0:00,2017,MARZO,3,9,1400,5400,,5400,2900,,3900,,1760,,,,0,,1760,60.68965517,24,,24,,8.64,0,0,,,,,0,0,,,,,,,1800,350,,,,350,350,,,1450,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,580,70.4,3.52,105.6,,,,0.431545455,759.52,
3/4/2017 0:00,2017,MARZO,3,9,3900,,,0,2700,,1200,,1800,,,,0,,1800,66.66666667,8,,8,,2.88,0,0,,,,,0,0,,,,,,,1450,,,,,0,0,,,1450,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,540,72,3.6,108,,,,0.402,723.6,
3/6/2017 0:00,2017,MARZO,3,10,1200,7100,,7100,1750,,6550,,1200,,,,0,,1200,68.57142857,22,,22,,7.92,0,0,,,,,0,0,,,,,,,1450,350,,,,350,350,,,1100,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,350,48,2.4,72,,,,0.393666667,472.4,
3/7/2017 0:00,2017,MARZO,3,10,6550,2850,,2850,5700,,3700,,4580,,,,0,,4580,80.35087719,27,,27,,9.72,0,0,,,,,0,0,,,,,,,1100,350,,,,350,350,,,750,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,1140,183.2,9.16,274.8,,,,0.350908297,1607.16,
3/8/2017 0:00,2017,MARZO,3,10,3700,4000,,4000,4750,,2950,,3550,,,,0,,3550,74.73684211,24,,24,,8.64,0,0,,,,,0,0,,,,,,,750,250,,,,250,250,,,500,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,950,142,7.1,213,,,,0.369605634,1312.1,
3/9/2017 0:00,2017,MARZO,3,10,2950,2450,,2450,3900,,1500,,3200,,,,0,,3200,82.05128205,20,,20,,7.2,0,0,,,,,0,0,,,,,,,500,200,,,,200,200,2000,,2300,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,780,128,6.4,192,,,,0.34575,1106.4,
3/10/2017 0:00,2017,MARZO,3,10,1500,3900,,3900,2900,,2500,,2250,,,,0,,2250,77.5862069,24,,24,,8.64,0,0,,,,,0,0,,,,,,,2300,400,,,,400,400,,,1900,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,580,90,4.5,135,,,,0.359777778,809.5,
3/11/2017 0:00,2017,MARZO,3,10,2500,1600,,1600,1900,,2200,,1700,,,,0,,1700,89.47368421,13,,13,,4.68,0,0,,,,,0,0,,,,,,,1900,,,,,0,0,,,1900,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0,,0,,,0,,,,,0,0,,,,,380,68,3.4,102,,,,0.325529412,553.4,
